No.,name,RA(deg),Dec(deg),filter_index,duration,score_a2(1e5),score_a1(1e5),score_a0(1e5),rise_time,set_time
0, Park_Position, 127.5625,  37.5033, 0,0,  0.00000,  0.00000,  0.00000, 0, 1584
1, ON 231, 185.3792,  28.2328, 1,69, -0.00422, -3.54719,  40645.29879, 0, 1515
2, ON 231, 185.3792,  28.2328, 2,35, -0.00609, -5.12542,  58729.38421, 0, 1549
3, ON 231, 185.3792,  28.2328, 3,18, -0.00691, -5.81494,  66630.19823, 0, 1566
4, ON 231, 185.3792,  28.2328, 5,12, -0.00742, -6.24397,  71546.26029, 0, 1572
5, 4C 29.45, 179.8792,  29.2456, 1,143, -0.00530, -4.07252,  39211.23432, 0, 1441
6, 4C 29.45, 179.8792,  29.2456, 2,72, -0.00766, -5.88448,  56657.26947, 0, 1512
7, 4C 29.45, 179.8792,  29.2456, 3,36, -0.00869, -6.67611,  64279.32365, 0, 1548
8, 4C 29.45, 179.8792,  29.2456, 5,24, -0.00933, -7.16869,  69021.93515, 0, 1560
9, MKN 421, 166.1125,  38.2089, 1,25, -0.00710, -5.45544,  35631.11530, 0, 1559
10, MKN 421, 166.1125,  38.2089, 2,13, -0.01026, -7.88270,  51484.26811, 0, 1571
11, MKN 421, 166.1125,  38.2089, 3,7, -0.01163, -8.94315,  58410.40283, 0, 1577
12, MKN 421, 166.1125,  38.2089, 5,5, -0.01249, -9.60299,  62719.99777, 0, 1579
13, PG 1246+586, 192.0750,  58.3414, 1,55, -0.00126, -2.16234,  41901.07456, 0, 1529
14, PG 1246+586, 192.0750,  58.3414, 2,28, -0.00181, -3.12442,  60543.88527, 0, 1556
15, PG 1246+586, 192.0750,  58.3414, 3,14, -0.00206, -3.54475,  68688.80258, 0, 1570
16, PG 1246+586, 192.0750,  58.3414, 5,10, -0.00221, -3.80628,  73756.75112, 0, 1574
17, 1ES 1011+49.6, 153.7667,  49.4333, 1,56, -0.00626, -7.23829,  32168.30927, 0, 1528
18, 1ES 1011+49.6, 153.7667,  49.4333, 2,28, -0.00905, -10.45878,  46480.77516, 0, 1556
19, 1ES 1011+49.6, 153.7667,  49.4333, 3,14, -0.01026, -11.86580,  52733.79424, 0, 1570
20, 1ES 1011+49.6, 153.7667,  49.4333, 5,10, -0.01102, -12.74127,  56624.56167, 0, 1574
21, 3C 279, 194.0458, -5.7894, 1,44, -0.01115, -2.56709,  30623.81465, 0, 1471
22, 3C 279, 194.0458, -5.7894, 2,22, -0.01611, -3.70925,  44249.09719, 0, 1493
23, 3C 279, 194.0458, -5.7894, 3,11, -0.01828, -4.20825,  50201.89054, 0, 1504
24, 3C 279, 194.0458, -5.7894, 5,8, -0.01963, -4.51874,  53905.85084, 0, 1507
25, S4 0954+65, 149.6958,  65.5650, 1,99, -0.00178, -5.97331,  32565.31178, 0, 1485
26, S4 0954+65, 149.6958,  65.5650, 2,50, -0.00257, -8.63098,  47054.41378, 0, 1534
