File, Target_ID, RA, DEC, X, Y, SNR
20250123140008609_7838_247520_solved.fits, 235309373975147520, 52.007227, 40.014738, 397.44163546719994, 632.3329557047069, 48.25664824262673
20250123140050897_7838_292160_solved.fits, 237915319612892160, 51.787334, 42.11287, 405.73300868359775, 632.7714004856176, 24.0785422366146
20250123140156214_7838_280128_solved.fits, 336350743061280128, 44.001832, 42.216977, 603.4995775220943, 618.9869590886105, 95.84252281682147
20250123140230821_7838_243680_solved.fits, 136299004728743680, 44.011732, 32.272575, 622.2765269122757, 636.7340384227316, 32.38671366341192
20250123140331238_7838_226528_solved.fits, 141039201218726528, 40.001572, 35.304716, 623.1028246794018, 621.9945325104369, 73.37888816185074
20250123140415473_7838_274496_solved.fits, 337064983238074496, 40.012759, 42.509395, 603.7866937544568, 620.9785938375647, 40.194528975938674
20250123140507241_7838_215456_solved.fits, 331732141388515456, 36.015846, 38.286471, 616.6219601258612, 629.0872157689008, 12.497897738725916
20250123140601365_7838_239104_solved.fits, 340021295127039104, 36.002739, 44.918712, 606.0279916110292, 616.1685168038646, 61.05752191898018
20250123140632510_7838_256672_solved.fits, 344728574986556672, 32.006035, 40.319257, 617.7819639985696, 615.1484646359258, 16.37164258977282
20250123140739860_7838_201056_solved.fits, 330660568523901056, 32.007142, 37.381892, 625.9690277110318, 630.3849719198845, 31.15381143746968
20250123140854579_7838_209056_solved.fits, 352631589689709056, 32.013645, 44.969549, 609.0251652250597, 636.4923799848444, 44.33917445366456
20250123141020036_7838_216256_solved.fits, 358152581170816256, 32.002835, 49.284411, 601.4230160586742, 630.6020661140051, 19.487954745985135
20250123141135614_7838_225536_solved.fits, 349096453648225536, 28.003953, 42.827354, 620.3264605428712, 612.1893039037664, 65.1935483560763
20250123141240899_7838_286784_solved.fits, 306215981201286784, 28.006417, 35.189532, 634.52552764248, 627.4195971141241, 32.53535713515509
20250123141347122_7838_217984_solved.fits, 322627948888217984, 24.008832, 37.894741, 633.232028118658, 626.0282480751232, 51.92296737866316
20250123141447926_7838_216832_solved.fits, 319187813226616832, 24.011, 37.015209, 633.402017803116, 617.6012558850299, 103.8158362646058
20250123141533989_7838_214912_solved.fits, 315872545150614912, 24.007367, 32.067485, 642.9920487466967, 637.1098238251463, 109.72827163378058
20250123141629552_7838_239648_solved.fits, 103758885089739648, 32.017425, 23.030824, 644.09541008999, 610.2049488841091, 111.90596178346506
20250123141723517_7838_286144_solved.fits, 126353264924086144, 40.008214, 26.146969, 637.8423057798865, 605.0820164884841, 115.14861606963696
20250123141834186_7838_238688_solved.fits, 112083498079138688, 48.000931, 25.293634, 637.8201843145383, 630.0498202596842, 52.10623445725871
20250123141946546_7838_285504_solved.fits, 68818810739685504, 52.001842, 24.511918, 636.4239753092021, 624.8191004854142, 50.866312240737464
20250123142047969_7838_233216_solved.fits, 108389998000633216, 44.055617, 20.380265, 665.772132389949, 633.1585857088202, 44.5076162925153
20250123142155053_7838_254368_solved.fits, 57447356545354368, 52.01982, 18.549941, 638.5577050074285, 609.1441272456018, 30.394233912783424
20250123142256997_7838_262720_solved.fits, 58777589518462720, 48.006826, 18.192476, 646.8215499279542, 630.6883315546742, 67.28809421839422
20250123142341692_7838_227008_solved.fits, 84834060887227008, 40.006377, 19.578075, 648.7741541037328, 633.9554716686266, 46.271447621788006
20250123142438126_7838_238336_solved.fits, 83222967115038336, 40.011316, 18.856369, 648.5574295153601, 643.0458797238474, 80.7650141511656
20250123142601201_7838_246400_solved.fits, 32126840706246400, 44.004555, 13.702854, 653.4729566981055, 624.8094485776616, 43.16205615766941
20250123142715300_7838_255808_solved.fits, 33044623677655808, 40.008339, 14.688741, 654.1311954968015, 629.673690408226, 35.84608245638728
20250123142830881_7838_297568_solved.fits, 33044211360797568, 40.004051, 14.648092, 655.0394720655933, 605.1286996134926, 8.59051162211057
20250123142930567_7838_288704_solved.fits, 15736347855688704, 48.015183, 11.600487, 651.2145366698869, 627.7689355227367, 64.84269625452728
20250123143021395_7838_272192_solved.fits, 26928830766472192, 40.007481, 13.889769, 654.6479930193389, 629.5607299969821, 69.83040073770005
20250123143102442_7838_208928_solved.fits, 77631366372108928, 32.000343, 15.097586, 657.9207671547045, 625.4969056083773, 45.820663720311025
20250123143216417_7838_291424_solved.fits, 289337966613591424, 24.014169, 23.084871, 650.9977985817881, 632.139695901631, 193.06036374339342
