target_id,RA,Dec,mag1,mag2,author,snr,count
ON 231,185.379167,28.232778,11.4,17.3,xu,100,1
4C 29.45,179.879167,29.245556,12.8,18.5,xu,100,1
MKN 421,166.112500,38.208889,11.6,16.5,xu,100,1
PG 1246+586,192.075000,58.341389,13.33,16.66,xu,100,1
1ES 1011+49.6,153.766667,49.433333,14.8,16.3,xu,100,1
3C 279,194.045833,-5.789444,11.3,17,xu,100,1
S4 0954+65,149.695833,65.565000,13.58,17.01,xu,100,1
PKS 1424+240,216.750000,23.800000,14,18.39,xu,100,1
1553+113,238.929167,11.190000,13.08,16.56,xujiang,100,1
3C 371,271.708333,69.824444,13.5,15.4,xu,100,1
OT 546,262.075000,50.219722,14.2,16.8,xu,100,1
OJ 287,133.700000,20.108333,12,17.5,xu,100,1
0806+524,122.454167,52.316111,14.8,16.3,xu,100,1
S5 0716+714,110.470833,71.343333,12.06,17.5,xu,100,1
J1037+5711,159.435000,57.198800,16.17,16.17,jiang,100,1
J1740+5211,265.154000,52.195300,16.37,16.37,jiang,100,1
